id,word,language
9cde0bbc-bd7c-4de7-afe3-cecc8c097901,ass,en
b678aaff-b828-490f-ae31-992720ea98b8,bastard,en
245e30bb-c2e4-46cc-9fef-1a5ebc8e7bc4,bitch,en
384d35ec-cd0b-4680-bfd0-d2dc3fde8464,btch,en
b25e5b66-0956-48aa-b82e-e4402743ce0c,chink,en
2c5f87b6-1464-471b-a74f-d037416a54d4,cnt,en
fdc1b7dc-9be9-48e0-a6a4-d8b3d84ea04d,cock,en
22f20e38-a6e5-4ce2-b62f-74290ce26c48,crap,en
0309968c-8c4e-4073-a68c-aee77d29c439,cunt,en
88fb629a-3077-4ddd-afd0-236101619bed,damn,en
46519cb8-a0d9-4699-b7de-d80853531785,dick,en
06ac196d-bc45-4522-92dd-2e4eaa8d65fc,dyke,en
e08908b7-1f00-43c0-8c2a-2d682c7ceb3e,fag,en
907b3b10-c9db-4e7e-a604-0e42a56ec696,faggot,en
483a1602-89bd-4391-a578-1430418e49bc,fck,en
11158020-ffdc-4873-b5cb-f22069aed87b,fuck,en
e6e9b9bb-23cc-4103-b56b-948b394854d2,fuk,en
d57d6619-1d02-4b4f-9207-0cb52599989f,hell,en
56077c68-75a0-407a-9a4e-041a6b625dd9,kike,en
9e15a6b3-6df6-48be-bb02-ec406871b0d4,nigga,en
5a24b648-2565-4a07-9b40-d16493d27849,nigger,en
a7ad2b0a-45f8-4764-be0f-4fb8a13f9504,piss,en
77ee2e68-4647-415e-81f9-90eb8d756d7c,pussy,en
3387131f-fe0f-44e3-8cb1-7c57b6b477cc,retard,en
e7fed8f3-7885-4f49-bc9a-532cccc2c937,retarded,en
4afc80dd-8337-4dba-a591-233a91a4a428,shit,en
59d824b7-d6c5-4e7d-bed9-83a56bd91e0e,sht,en
2d96c0ad-9fa1-42de-a8a1-8ccdda7ddeba,slut,en
af8d55c0-2e76-4e70-b02f-c6e1c3b9f67f,spam,en
c5514a2e-f31b-44eb-bb32-da1084dd4756,spic,en
b2729d52-4b55-4a6b-8c03-31513da278a5,test,en
ac1872a2-098a-4c2c-9ab9-7807fc15ec3c,tranny,en
f9480a7a-b060-4439-991e-62b18f0fc4ad,whore,en
87163b45-afd8-4f44-b924-6a77a8032281,ארס,he
f1f4bb54-0040-4ec6-affa-22f5f37745b4,בן זונה,he
88497a6b-68c2-4148-855c-78539767e97a,דביל,he
13236eba-06bd-4fb5-8cf0-e04e04713cfb,דפוק,he
621c209d-d8fc-4d56-8fcf-241541152253,זבל,he
0d769f1d-371b-4168-9f54-b42afc33de0b,זונה,he
029e6050-009d-47f8-8087-54222d4a4924,זיין,he
14d0510b-5f95-4daf-9b46-48fe748b7957,זין,he
bdf4e9e6-8b7c-4b7f-8705-984fa24b36f6,חארות,he
6719ad32-d696-49b5-9d23-8c355199a004,חרא,he
5c3d4116-bf7a-4473-8ec3-2e5570da1839,חתיכת,he
455d3806-8f8b-453f-9642-c2196c95be51,טמבל,he
a657361c-c77f-46a8-a9e1-2515e73dcadc,כוס,he
821911c7-a83c-4932-8011-539ad81447fe,כושי,he
427f8c76-dd8c-4cbe-86c8-c9d81ee09e9e,לעזאזל,he
dbc0b20b-383d-4f41-9bb3-a22b117c0703,מזדיין,he
83602f9e-946d-43c0-9cbd-ad22ff2faefa,מזיין,he
25b6d6c0-2c08-48d9-84dc-5298bb34f27b,מניאק,he
b5d4e778-4316-4669-9a0b-a1e3b4ca90b2,מפגר,he
db019386-9daf-42a9-81c3-996791c3824c,מצוצן,he
8d30cfbf-06e1-432e-9c4a-c549d63d51c7,ערס,he
80c91ece-26b1-420d-bfb6-4bfdefb70d4e,פרייר,he
427fef10-76c2-459d-9fc4-891b792e38dc,קוקסינל,he
037587d6-b253-4bf3-9abf-9edce59f65ef,שמוק,he
e6864720-03fb-4f7e-9d84-69cea73be00a,שרמוטה,he
